순번,의료기관명,의료기관주소(도로명),의료기관전화번호
66,서울건치과의원,"부산광역시 금정구 중앙대로 2093, 수광빌딩 3층 (남산동)",051-517-2828
67,미의원,"부산광역시 금정구 금정로 83, 2층 (장전동)",051-518-5761
68,시온치과의원,"부산광역시 금정구 서동로 156, 2-3층 (서동)",051-532-7528
69,웰컴치과의원,"부산광역시 금정구 장전로 10, 3층 (장전동)",051-711-2275
70,우리연합의원,"부산광역시 금정구 온천장로125번길 38, 2층 (장전동)",051-515-7512
71,탑연합비뇨의학과의원,"부산광역시 금정구 온천장로 132, 극동빌딩 3층 (장전동)",051-554-6888
72,금정이비인후과의원,"부산광역시 금정구 중앙대로 1937, 2층 (구서동)",051-514-9911
73,명아치과의원,"부산광역시 금정구 중앙대로 1937, 5층 (구서동)",051-582-2888
74,래미안치과의원,"부산광역시 금정구 금정로 35, 2층 (장전동)",051-583-2275
75,나우향정신건강의학과의원,"부산광역시 금정구 부곡로 122-1, 4층 (부곡동)",051-715-5180
76,구침한의원,"부산광역시 금정구 동현로16번길 76, 2층 (부곡동)",051-516-3009
77,뷰티203의원,"부산광역시 금정구 부산대학로 53, 2~3층 (장전동)",051-583-9799
78,서승진정신건강의학과의원,"부산광역시 금정구 구서로 10, 5층 502호 (구서동)",051-582-6001
79,디이엔치과의원,"부산광역시 금정구 중앙대로 2002-1, 2층 (남산동, 디이엔치과)",051-514-0100
80,윤이비인후과의원,"부산광역시 금정구 서동로 159, 2층 (서동)",051-529-8899
81,라온치과의원,"부산광역시 금정구 금강로 429-1, 해금빌딩 4층 (구서동)",051-583-7588
82,더고운피부과의원,"부산광역시 금정구 온천장로 131, 3층 (장전동, 우성빌딩)",051-558-7575
83,바로나치과의원,"부산광역시 금정구 온천장로 131, 5층 (장전동, 우성빌딩)",051-518-7582
84,나치과의원,"부산광역시 금정구 중앙대로 2091, 5층 (남산동, 금정메디컬센타)",051-582-4554
85,김태균마취통증의학과의원,"부산광역시 금정구 중앙대로 2091, 3층 (남산동, 금정메디컬센타)",051-622-8000
86,윤정신건강의학과의원,"부산광역시 금정구 중앙대로 1943, 9층 (구서동, 첨단빌딩)",051-583-5002
87,제니크의원,"부산광역시 금정구 부산대학로 49, 4층 (장전동, 오션프라자)",051-583-8585
88,부산휴내과의원,"부산광역시 금정구 장전로 31-1, 2층 (장전동)",051-714-1525
89,제제한의원,"부산광역시 금정구 금강로 700, 3층 301~303호 (남산동, 남산시장빌딩)",051-516-5588
90,경희상훈한의원,"부산광역시 금정구 금정로91번길 19, 2층 (장전동, 향춘빌딩)",051-583-1075
91,엘린의원,"부산광역시 금정구 중앙대로1841번길 2, 2층 (구서동, 유원타워)",051-714-3701
92,다스림한의원,부산광역시 금정구 온천장로125번길 68 (장전동),051-557-7588
93,범어연합치과의원,부산광역시 금정구 중앙대로 2102 (남산동),051-514-2080
94,제이케이(JK)맑은피부과의원,"부산광역시 금정구 중앙대로1841번길 15, 7층 (구서동, 명성빌딩)",051-512-8787
95,이경일내과의원,"부산광역시 금정구 중앙대로 2029, 3층 (남산동)",051-582-3399
96,맨하탄치과의원,부산광역시 금정구 중앙대로 1717 (부곡동),051-512-8270
97,온정신건강의학과의원,"부산광역시 금정구 온천장로 131, 2층 (장전동)",051-504-7575
98,바른정치과의원,"부산광역시 금정구 청룡예전로 2, 4층 (청룡동, 경신빌딩)",051-710-0010
99,구서한의원,"부산광역시 금정구 수림로50번길 195-3, 1,2층 (구서동)",051-518-8500
100,민들레내과의원,"부산광역시 금정구 중앙대로 2093, 수광빌딩 5-6층 (남산동)",051-714-5772
101,김태균내과의원,부산광역시 금정구 중앙대로1719번길 16 (부곡동),051-703-8875
102,보광한의원,부산광역시 금정구 금샘로 585 (남산동),051-513-8787
103,바른몸청담한의원,부산광역시 금정구 중앙대로1841번길 23 (구서동),051-504-1060
104,용한의원,부산광역시 금정구 금사로 104 (금사동),051-525-7577
105,주안치과의원,"부산광역시 금정구 수림로 55, 4층 (장전동)",051-518-0900
106,동비한의원,"부산광역시 금정구 금강로 206-16, 2층 (장전동)",051-582-5021
107,항소담외과의원,"부산광역시 금정구 금정로 252, 3~5층 (구서동, 세정타워)",051-582-7517
108,권한의원,"부산광역시 금정구 중앙대로1719번길 64, 2층 (부곡동)",051-512-2222
109,백용운소아청소년과의원,"부산광역시 금정구 장전로 10, 가온메디컬 4층 (장전동)",051-516-2612
110,영이비인후과의원,"부산광역시 금정구 구서로 23, 화산빌딩 5층 (구서동)",051-513-1050
111,진한의원,"부산광역시 금정구 온천장로125번길 6 (장전동, 영승빌딩202호)",051-518-1275
112,위드유이비인후과의원,"부산광역시 금정구 중앙대로 2101, 201호 (남산동)",051-583-7300
113,동산라벨라의원,"부산광역시 금정구 중앙대로1945번길 12, -1층 (구서동)",051-516-3383
114,아카데미피부과의원,"부산광역시 금정구 구서로 10, 4층 (구서동)",051-512-7577
115,정한의원,부산광역시 금정구 서동로 174 (서동),051-527-1075
116,박 정형외과의원,"부산광역시 금정구 중앙대로 1727, 2,3층 (부곡동)",051-911-7575
117,하늘치과의원,부산광역시 금정구 서부곡로 2 (부곡동),051-582-2275
118,하나가정의학과의원,부산광역시 금정구 금강로 209 (장전동),051-517-1190
119,하이얀치과의원,"부산광역시 금정구 금정로233번길 85, 2층 (구서동)",051-518-7750
120,구서바른이치과교정과치과의원,부산광역시 금정구 중앙대로1841번길 39 (구서동),051-515-2885
121,우재한의원,부산광역시 금정구 부곡로 112 (부곡동),051-582-0005
122,씨에프정훈비뇨기과의원,부산광역시 금정구 부곡로 120-1 (부곡동),051-513-7576
123,자연한의원,부산광역시 금정구 중앙대로1841번길 15 (구서동),051-911-7582
124,브이엘의원,부산광역시 금정구 부산대학로 47 (장전동),051-921-7979
125,하루미치과의원,부산광역시 금정구 중앙대로1929번길 12 (구서동),051-516-2772
126,손동훈정형외과의원,"부산광역시 금정구 중앙대로 2101, 4층 (남산동, 금정농협)",051-513-9300
127,"행복의원,한의원","부산광역시 금정구 서동로 137-1, 1층 (서동)",051-522-2900
128,"행복의원,한의원","부산광역시 금정구 서동로 137-1, 1층 (서동)",051-522-2900
129,이진우이비인후과의원,부산광역시 금정구 금강로 206-16 (장전동),051-517-0112
130,다나마취통증의학과의원,"부산광역시 금정구 온천장로 131, 4층 (장전동, 우성빌딩)",051-515-7141
131,손호영한의원,"부산광역시 금정구 금강로 209, 장전동 4층 (장전동, 한신시티빌)",051-512-6028
132,예담한의원,"부산광역시 금정구 금강로 441, 이강빌딩 2층 (구서동)",051-514-2580
133,서울지온신경외과의원,부산광역시 금정구 중앙대로 1897 (구서동),051-518-7007
134,김동건재활의학과의원,부산광역시 금정구 구서로 17 (구서동),051-517-7373
135,동아의원,"부산광역시 금정구 금강로 206-1, 2층 (장전동)",051-582-7575
136,김형석소아청소년과의원,부산광역시 금정구 구서로 17 (구서동),051-513-7931
137,이편한치과의원,"부산광역시 금정구 금강로 208, 2층 (장전동)",051-583-1600
138,이가정의학과의원,"부산광역시 금정구 중앙대로 2097, 3층 (남산동)",051-517-0787
139,명인당한의원,"부산광역시 금정구 수림로20번길 36, 2동 3~4층 (부곡동)",051-515-8575
140,미소드림치과의원,"부산광역시 금정구 금강로 209, 4층 (장전동, 한신시티빌)",051-514-2875
141,수사랑의원,"부산광역시 금정구 수림로20번길 36, 2층 (부곡동)",051-513-4830
142,최내과의원,"부산광역시 금정구 금강로 322, 1층 (장전동)",051-514-6822
143,수가정의학과의원,"부산광역시 금정구 금강로 644-1, 1층 (남산동)",051-516-8787
144,행복한치과의원,"부산광역시 금정구 구서로 24, 2층 (구서동, 농협)",051-516-8275
145,허태율한의원,"부산광역시 금정구 구서로 24, 2층 (구서동, 농협)",051-513-6633
146,열자비한의원,"부산광역시 금정구 금샘로 438, 지하1~지상1층 (구서동)",051-514-1515
147,느티나무치과의원,"부산광역시 금정구 구서로 23, 3층 (구서동)",051-516-2875
148,해광한의원,"부산광역시 금정구 중앙대로 1929, 2층 (구서동)",051-517-1075
149,김진구내과의원,"부산광역시 금정구 구서로 23, 3층 (구서동)",051-514-2280
150,늘편한내과의원,"부산광역시 금정구 중앙대로1841번길 15, 2층 (구서동)",051-583-1199
151,본치과의원,"부산광역시 금정구 중앙대로 1935, 3층 (구서동)",051-515-7475
152,부산하나이비인후과의원,"부산광역시 금정구 중앙대로1841번길 15, 3층 (구서동, 명성빌딩)",051-513-7570
153,강남의원,"부산광역시 금정구 서동로 166-1, 2,3층 (서동)",051-524-9996
154,조인찬마취통증의학과의원,"부산광역시 금정구 중앙대로 1943, 3층 (구서동)",051-518-9038
155,위더스예쁜이치과의원,"부산광역시 금정구 금정로233번길 85, 3층 (구서동)",051-514-7475
156,한결치과의원,"부산광역시 금정구 금정로 149, 2층 (장전동)",051-518-2888
157,풀잎향기한의원,"부산광역시 금정구 서부곡로16번길 74, 1,2층 (부곡동)",051-532-1835
158,조생한의원,부산광역시 금정구 금강로 180 (장전동),051-582-5533
159,뉴아미치과의원,"부산광역시 금정구 중앙대로1629번길 26, 3층 (부곡동)",051-513-7525
160,세종한의원,부산광역시 금정구 중앙대로 1893 (구서동),051-581-7582
161,동산한의원,"부산광역시 금정구 중앙대로1945번길 12, 2,3층 (구서동)",051-517-0210
162,큰으뜸내과의원,"부산광역시 금정구 서동로 168, 우림빌딩(구, 송월빌딩) 7층 (서동)",051-531-7005
163,미래어린이치과의원,부산광역시 금정구 중앙대로1841번길 2 (구서동),051-517-2875
164,뉴플란트치과의원,"부산광역시 금정구 중앙대로1719번길 37, 5층 (부곡동, 정암빌딩)",051-518-2830
165,올리브치과의원,"부산광역시 금정구 오시게로 22, 3층 (부곡동)",051-583-7582
166,엘(L)피부과의원,"부산광역시 금정구 중앙대로 1943, 8층 (구서동, 첨단빌딩)",051-512-8275
167,키즈현치과의원,"부산광역시 금정구 구서로 2, 4층 (구서동, 정우빌딩)",051-583-7528
168,수이비인후과의원,"부산광역시 금정구 부산대학로 47, 6층 (장전동)",051-583-7585
169,새샘내과의원,"부산광역시 금정구 서동로 155, 3층 (서동)",051-532-6660
170,태연한의원,"부산광역시 금정구 부산대학로 10 (부곡동, 부곡대우@상가1동 107호)",051-518-0019
171,온천이비인후과의원,"부산광역시 금정구 온천장로 131, 4층 (장전동, 우성빌딩)",051-512-4713
172,경락한의원,"부산광역시 금정구 수림로 6 (부곡동, SK상가 2층 202호)",051-900-4343
173,굿서울치과의원,"부산광역시 금정구 금강로 492, 4층 (구서동)",051-582-7998
174,김옥영소아청소년과의원,"부산광역시 금정구 수림로 15, 하나클리닉센터 4층 (부곡동)",051-517-1275
175,캐슬치과의원,"부산광역시 금정구 금강로 503, 2층 (구서동, 롯데캐슬상가 201호)",051-582-2875
176,새로운정형외과의원,"부산광역시 금정구 중앙대로1841번길 23, 3층 (구서동)",051-514-8446
177,안치과의원,"부산광역시 금정구 금강로 494, 4층 (구서동, 구서골드 3상가 401호)",051-518-2288
178,미로한의원,"부산광역시 금정구 중앙대로1841번길 91, 4층 (구서동, 마루빌딩)",051-581-0124
179,미소웰산부인과의원,"부산광역시 금정구 중앙대로1841번길 15, 4층 (구서동, 명성빌딩)",051-516-0079
180,평강의원,"부산광역시 금정구 시실로 13, 2층 (부곡동)",051-515-8271
181,푸른사과치과의원,"부산광역시 금정구 부곡로 118, 3층 (부곡동, 동원빌딩)",051-516-7528
182,백보한의원,부산광역시 금정구 금강로335번길 1 (장전동),051-582-5522
183,동안비책한의원,부산광역시 금정구 중앙대로 1617-12 (부곡동),051-518-2323
184,우송한의원,부산광역시 금정구 중앙대로 2095 (남산동),051-583-0633
185,현대의원,"부산광역시 금정구 서부로 31, 2층 (서동)",051-521-6638
186,참조은치과의원,"부산광역시 금정구 중앙대로1841번길 23, 5층 (구서동)",051-515-2875
187,굿닥터의원,부산광역시 금정구 서명로 15-1 (서동),051-524-0028
188,사)대한산업보건협회 부산의원,"부산광역시 금정구 중앙대로 2139, 2층 (청룡동, 동아빌딩)",051-508-6084
189,김은경치과의원,"부산광역시 금정구 부곡로 116, 2층 (부곡동)",051-583-2806
190,향사랑외과의원,"부산광역시 금정구 중앙대로1841번길 23, 4층 (구서동, 현대타운)",051-517-7582
191,부곡한의원,부산광역시 금정구 부곡로 101 (부곡동),051-513-3232
192,한솔내과의원,"부산광역시 금정구 구서로 17, 2층 (구서동)",051-581-3242
193,서동정안과의원,부산광역시 금정구 서동로 154 (서동),051-714-7288
194,이엔이비인후과의원,"부산광역시 금정구 부곡로 105, 3층 (부곡동, 부곡새마을금고)",051-513-0081
195,코끼리한의원,"부산광역시 금정구 부곡로 122-1, 2층 (부곡동)",051-582-1611
196,미소美치과의원,"부산광역시 금정구 금강로 711, 3층 (남산동, 홍원빌딩)",051-582-7528
197,남산 선치과의원,"부산광역시 금정구 중앙대로 2005, 4층 (남산동)",051-513-1275
198,청아치과의원,부산광역시 금정구 중앙대로 1943 (구서동),051-583-2875
199,미래의원,"부산광역시 금정구 금강로 711, 2층 (남산동)",051-517-7177
200,맑은샘가정의학과의원,"부산광역시 금정구 식물원로39번길 26, 101,201호 (장전동)",051-515-1665
201,강남미르비뇨기과의원,"부산광역시 금정구 구서로 2, 3층 (구서동)",051-514-1808
202,차치과의원,"부산광역시 금정구 금강로 205, 2층 (장전동, 금정산SKview@상가 301동 206,207호)",051-516-2854
203,대평한의원,부산광역시 금정구 서동로141번길 5 (서동),051-529-1075
204,온정한의원,"부산광역시 금정구 식물원로39번길 19, 1층 (장전동)",051-583-7325
205,창성한의원,부산광역시 금정구 범어천로52번길 6 (남산동),051-516-1075
206,하나의원,"부산광역시 금정구 부곡로 110, 2층 (부곡동)",051-517-5573
207,서동치과의원,"부산광역시 금정구 서동로 155, 2층 (서동)",051-529-7090
208,장한기안과의원,"부산광역시 금정구 부곡로 120-1, 2층 (부곡동)",051-513-7700
209,남산하나정형외과의원,"부산광역시 금정구 중앙대로 2049, 2,3층 (남산동)",051-515-8003
210,박기남마취통증의학과의원,"부산광역시 금정구 부곡로 120-1, 3층 (부곡동, 명성빌딩)",051-513-8080
211,푸른내과의원,"부산광역시 금정구 벅구산로 2, 2층 (남산동, 누리마을)",051-515-5311
212,밝은홍안과의원,"부산광역시 금정구 중앙대로 1917, 5층 (구서동)",051-514-3773
213,서동참정형외과의원,"부산광역시 금정구 서동로 154, 4~5층 (서동)",051-526-9191
214,우리정신건강의학과의원,"부산광역시 금정구 수림로 15, 2층 (부곡동)",051-581-8275
215,서동한의원,부산광역시 금정구 서동중심로 59 (서동),051-522-7582
216,당당한의원,"부산광역시 금정구 중앙대로1719번길 37, 4층 (부곡동, 정암빌딩)",051-515-8275
217,김태관치과의원,"부산광역시 금정구 서동로 73, 2층 (부곡동)",051-512-2820
218,심우영이비인후과의원,"부산광역시 금정구 중앙대로 1711, 7층 (부곡동, 금정빌딩)",051-514-2330
219,황윤권정형외과의원,"부산광역시 금정구 중앙대로1629번길 16, 상가301동 209호 (부곡동)",051-515-5713
220,보문정형외과의원,"부산광역시 금정구 중앙대로 1933, 1~3층 (구서동)",051-581-0012
221,옥승철내과의원,"부산광역시 금정구 서동로 158-2, 3층 (서동)",051-531-1195
222,이정삼이비인후과의원,"부산광역시 금정구 금강로 569, 2층 (구서동)",051-583-2672
223,지니산부인과의원,"부산광역시 금정구 부산대학로 23 (장전동, 태양빌딩)",051-582-8275
224,이기범내과의원,"부산광역시 금정구 두실로 36, 3층 (남산동)",051-515-7999
225,전명호내과의원,"부산광역시 금정구 가마실로 21-1, 2층 (부곡동)",051-518-1662
226,예인치과의원,"부산광역시 금정구 부산대학로 23, 5,6층 (장전동)",051-514-2829
227,조내과김경미산부인과의원,"부산광역시 금정구 수림로 15, 5층 (부곡동)",051-512-2060
228,민부부치과의원,"부산광역시 금정구 금사로 81, 2층 (금사동)",051-524-2511
229,금정한의원,부산광역시 금정구 부곡로 44 (부곡동),051-514-8875
230,진부부치과의원,"부산광역시 금정구 수림로 13, 3층 (부곡동)",051-582-8655
231,한빛한의원,부산광역시 금정구 중앙대로1719번길 22 (부곡동),051-515-3114
232,조이피부과의원,"부산광역시 금정구 수림로 15, 4층 (부곡동)",051-582-7573
233,턱편한잎새치과의원,"부산광역시 금정구 수림로 15, 2층 (부곡동)",051-512-7572
234,최진섭신경외과의원,"부산광역시 금정구 두실로 26, 진경빌딩 3,4,5층 (남산동)",051-515-4845
235,류청치과의원,"부산광역시 금정구 중앙대로1929번길 11, 4층 (구서동, 유림빌딩)",051-515-2724
236,노덕현이비인후과의원,"부산광역시 금정구 서동로 168, 3층 (서동, 송월빌딩)",051-527-2970
237,굿모닝치과의원,"부산광역시 금정구 중앙대로 1723, 2층 (부곡동)",051-517-2833
238,수치과의원,"부산광역시 금정구 금강로 567, 2층 (구서동)",051-517-2804
239,김두정정형외과의원,"부산광역시 금정구 부곡로 117, 2층 (부곡동)",051-583-8181
240,예람한의원,부산광역시 금정구 남산로 35 (남산동),051-583-0311
241,거북이한의원,"부산광역시 금정구 장전온천천로 65-2, 2층 (장전동)",051-583-8989
242,아름다운치과의원,"부산광역시 금정구 중앙대로 2101, 3층 (남산동)",051-508-7676
243,효당한의원,"부산광역시 금정구 부곡로 104, 1층 (부곡동)",051-583-8275
244,이종호피부과의원,"부산광역시 금정구 서동로 151, 2층 (서동)",051-527-7083
245,최난금이비인후과의원,"부산광역시 금정구 부곡로 118, 2층 (부곡동)",051-517-6735
246,한빛치과의원,"부산광역시 금정구 중앙대로1629번길 16, 2층 210호 (부곡동)",051-583-2941
247,이상열마취통증의학과의원,"부산광역시 금정구 구서로 2, 2층 (구서동)",051-516-0888
248,조성재치과의원,"부산광역시 금정구 부산대학로 10, 2층 (부곡동, 대우상가 29동 202호)",051-581-1113
249,봄빛안과의원,"부산광역시 금정구 구서로 17, 3층 (구서동)",051-516-8182
250,창해한의원,"부산광역시 금정구 중앙대로 1927, 2층 (구서동)",051-583-5445
251,실로암한의원,"부산광역시 금정구 금샘로 445, 4층 (구서동)",051-515-5717
252,미소고운선치과의원,"부산광역시 금정구 금사로 76, 2층 (금사동)",051-527-5785
253,프랜드금치과의원,"부산광역시 금정구 수림로 34, 파디글스 2층 (부곡동)",051-518-4800
254,김박산부인과의원,"부산광역시 금정구 구서로 2, 3층 (구서동)",051-514-2626
255,오성한의원,"부산광역시 금정구 금정로 86, 2,3층 (장전동)",051-515-1240
256,경원한의원,부산광역시 금정구 중앙대로 2029 (남산동),051-517-8384
257,성심치과의원,"부산광역시 금정구 금강로 352, 서우빌딩 3층 (장전동)",051-512-7776
258,우리의원,"부산광역시 금정구 금사로 95, 2,3층 (금사동)",051-531-8291
259,명성치과의원,"부산광역시 금정구 부곡로 120-1, 5층 (부곡동)",051-514-3388
260,이상목이비인후과의원,"부산광역시 금정구 서동로 165, 2층 (서동)",051-528-1333
261,베스트의원,"부산광역시 금정구 식물원로 59, 1층 (장전동, B/K 오피스텔 101호)",051-512-6206
262,프라임치과보철과치과의원,"부산광역시 금정구 중앙대로1841번길 15, 5층 (구서동)",051-582-7582
263,삼성치과의원,부산광역시 금정구 중앙대로 2095 (남산동),051-514-1534
264,디킴스피부과의원,"부산광역시 금정구 중앙대로 1937, 3층 (구서동)",051-512-3961
265,정성모한의원,부산광역시 금정구 중앙대로 2101 (남산동),051-517-1313
266,두실한의원,"부산광역시 금정구 중앙대로 1941, 2층 (구서동)",051-513-7500
267,광명한의원,"부산광역시 금정구 금사로 118, 1층 (금사동)",051-532-5324
268,김철수이비인후과의원,"부산광역시 금정구 금정로 147, 서강빌딩 2~3층 (장전동)",051-582-5125
269,해산한의원,부산광역시 금정구 금강로 651-1 (남산동),051-583-0698
270,신공한의원,부산광역시 금정구 식물원로40번길 12 (장전동),051-583-1205
271,손한의원,부산광역시 금정구 중앙대로 2011 (남산동),051-517-1614
272,이루미치과의원,"부산광역시 금정구 수림로 15, 6,7층 (부곡동)",051-582-8980
273,최양숙소아청소년과의원,"부산광역시 금정구 금강로 442, 2층 (구서동, 보배빌딩)",051-517-6038
274,리더스차치과의원,부산광역시 금정구 중앙대로 1727 (부곡동),051-518-0251
275,김비뇨기과의원,"부산광역시 금정구 중앙대로 2005, 2층 (남산동)",051-582-0807
276,정영기내과의원,부산광역시 금정구 중앙대로1985번길 1 (남산동),051-517-7509
277,김성재한의원,부산광역시 금정구 금강로 436 (구서동),051-516-2782
278,남산제일내과의원,부산광역시 금정구 금강로 713 (남산동),051-582-5526
279,동래미치과의원,"부산광역시 금정구 부곡로 38, 2층 (부곡동)",051-512-2879
280,박지태치과의원,"부산광역시 금정구 금강로 442, 2층 (구서동, 보배빌딩)",051-518-6336
281,남산치과의원,"부산광역시 금정구 팔송로 36, 2층 (남산동)",051-515-1281
282,김앤박치과의원,"부산광역시 금정구 서동로 154, 3층 (서동)",051-532-2275
283,이성한한의원,부산광역시 금정구 서동로 159-3 (서동),051-528-7575
284,초하한의원,"부산광역시 금정구 중앙대로1945번길 60, 3층 (구서동)",051-518-2388
285,송지한의원,부산광역시 금정구 범어천로52번길 1 (남산동),051-517-2895
