facility_id,name,type,address,latitude,longitude,specialty,phone,source_date,sub_type,base_source
GJH351,의료법인아너의료재단 아름다운강산병원,병원,부산광역시 금정구 공단로 7 (금사동),35.2177051,129.1127213,내과|외과|정형외과|비뇨의학과|마취통증의학과|병리과|가정의학과 등,051-526-7100,2026-03-05,병원,https://www.data.go.kr/data/3078698/fileData.do
GJH359,세웅병원,병원,부산광역시 금정구 서동로 162 (서동),35.215784,129.100454,내과|신경과|외과|정형외과|마취통증의학과|산부인과|소아청소년과|비뇨의학과|영상의학과|가정의학과,051-500-9700,2026-03-05,병원,https://www.data.go.kr/data/3078698/fileData.do
GJH358,의료법인 삼세의료재단 삼세한방병원,병원,부산광역시 금정구 중앙대로 1580 (부곡동),35.2607425,129.0914973,정형외과|한방재활의학과|한방부인과|한방내과|침구과,051-583-5400,2026-03-05,한방병원,https://www.data.go.kr/data/3078698/fileData.do
GJH360,다움병원,병원,부산광역시 금정구 체육공원로 608 (두구동),35.2917251,129.1110547,내과|정신건강의학과,051-508-0011,2026-03-05,병원,https://www.data.go.kr/data/3078698/fileData.do
GJH340,의료법인 천지의료재단 금샘요양병원,병원,부산광역시 금정구 남산냇길 111 (청룡동),35.2748496,129.088465,내과|가정의학과|요양병원,051-931-0119,2026-03-05,요양병원,https://www.data.go.kr/data/3078698/fileData.do
GJ-P-016,가온샘약국,약국,"부산광역시 금정구 장전로 10, 1층 104호 (장전동)",35.2294147,129.0835901,약국,051-912-7790,2025-09-05,약국,금정구 약국 공개자료
GJ-P-017,금성약국,약국,부산광역시 금정구 금사로 95 (금사동),35.2254737,129.1156438,약국,051-523-7891,2025-09-05,약국,금정구 약국 공개자료
GJ-P-018,맑은약국,약국,부산광역시 금정구 중앙대로 2025 (남산동),35.2418457,129.0928783,약국,051-582-9051,2025-09-05,약국,금정구 약국 공개자료
GJ-P-019,미솜약국,약국,"부산광역시 금정구 서동로 159, 1층 (서동)",35.2182092,129.0929149,약국,051-531-6331,2025-09-05,약국,금정구 약국 공개자료
GJ-P-020,범어사메트로약국,약국,"부산광역시 금정구 중앙대로 2107, 범어사지하철역 지하1층 상가1호 (청룡동)",35.2747671,129.0925669,약국,정보 없음,2025-09-05,약국,금정구 약국 공개자료
GJ-P-021,봄약국,약국,"부산광역시 금정구 구서로 10, 1층 103호 (구서동)",35.2467481,129.0892397,약국,051-583-8270,2025-09-05,약국,금정구 약국 공개자료
GJ-P-022,부곡온누리약국,약국,"부산광역시 금정구 부곡로 128, 1층 일부호 (부곡동)",35.2228046,129.0908354,약국,051-715-0133,2025-09-05,약국,금정구 약국 공개자료
GJ-P-023,수강약국,약국,"부산광역시 금정구 체육공원로 665, 수강약국 (두구동)",35.2917251,129.1110547,약국,051-508-0929,2025-09-05,약국,금정구 약국 공개자료
GJ-P-024,스타약국,약국,"부산광역시 금정구 온천장로 146, 1층 (장전동)",35.2232197,129.0854428,약국,051-714-0107,2025-09-05,약국,금정구 약국 공개자료
GJ-P-025,신제일약국,약국,"부산광역시 금정구 중앙대로 2097, 1층 일부호 (남산동)",35.2418457,129.0928783,약국,051-583-1717,2025-09-05,약국,금정구 약국 공개자료
GJ-P-026,우리약국,약국,부산광역시 금정구 공단로 5 (금사동),35.2177051,129.1127213,약국,051-531-8458,2025-09-05,약국,금정구 약국 공개자료
GJ-P-027,장전 온누리약국,약국,"부산광역시 금정구 금정로 151-1, 1층 (장전동)",35.2424761,129.0889306,약국,051-515-4325,2025-09-05,약국,금정구 약국 공개자료
