facility_id,name,data_status,source_level,mon,tue,wed,thu,fri,sat,sun,lunch,holiday,verified_date,source_name,source_url,notes,schedule_text
GJH351,의료법인아너의료재단 아름다운강산병원,unknown,공개 참고,확인 필요,확인 필요,확인 필요,확인 필요,확인 필요,확인 필요,확인 필요,확인 필요,확인 필요,2026-07-14,기관 공식·공개 페이지 또는 HIRA 기반 목록,https://www.gang-san.kr/,기관 공식/공개 페이지 또는 HIRA 기반 목록; 방문 전 전화 재확인 필요,평일 09:00-17:30; 토 09:00-12:30; 점심 12:30-13:30
GJH359,세웅병원,unknown,공개 참고,확인 필요,확인 필요,확인 필요,확인 필요,확인 필요,확인 필요,확인 필요,확인 필요,확인 필요,2026-07-14,기관 공식·공개 페이지 또는 HIRA 기반 목록,https://mobile.hidoc.co.kr/find/result/view/H0000153220,기관 공식/공개 페이지 또는 HIRA 기반 목록; 방문 전 전화 재확인 필요,평일 09:00-18:00; 주말 세부시간 미확인; 24시간 응급진료 공개
GJH358,의료법인 삼세의료재단 삼세한방병원,unknown,공개 참고,확인 필요,확인 필요,확인 필요,확인 필요,확인 필요,확인 필요,확인 필요,확인 필요,확인 필요,2026-07-14,기관 공식·공개 페이지 또는 HIRA 기반 목록,https://samse.co.kr/hospital/,기관 공식/공개 페이지 또는 HIRA 기반 목록; 방문 전 전화 재확인 필요,월-금 09:00-20:00; 토·일·휴일 09:00-17:00; 설·추석 당일 제외
GJH360,다움병원,unknown,공개 참고,확인 필요,확인 필요,확인 필요,확인 필요,확인 필요,확인 필요,확인 필요,확인 필요,확인 필요,2026-07-14,기관 공식·공개 페이지 또는 HIRA 기반 목록,https://goodhospital.kr/m/ho_view.php?ho_id=67795,기관 공식/공개 페이지 또는 HIRA 기반 목록; 방문 전 전화 재확인 필요,월-금 09:30-17:00~17:30(출처 간 차이); 주말 미확인
GJH340,의료법인 천지의료재단 금샘요양병원,unknown,공개 참고,확인 필요,확인 필요,확인 필요,확인 필요,확인 필요,확인 필요,확인 필요,확인 필요,확인 필요,2026-07-14,기관 공식·공개 페이지 또는 HIRA 기반 목록,https://www.easysearch.kr/hospital-a1202342/,기관 공식/공개 페이지 또는 HIRA 기반 목록; 방문 전 전화 재확인 필요,미확인; 전화 확인 필요
GJ-P-016,가온샘약국,unknown,unknown,,,,,,,,,확인 필요,2026-07-14,,,약국 운영시간 확인 필요,
GJ-P-017,금성약국,unknown,unknown,,,,,,,,,확인 필요,2026-07-14,,,약국 운영시간 확인 필요,
GJ-P-018,맑은약국,unknown,unknown,,,,,,,,,확인 필요,2026-07-14,,,약국 운영시간 확인 필요,
GJ-P-019,미솜약국,unknown,unknown,,,,,,,,,확인 필요,2026-07-14,,,약국 운영시간 확인 필요,
GJ-P-020,범어사메트로약국,unknown,unknown,,,,,,,,,확인 필요,2026-07-14,,,약국 운영시간 확인 필요,
GJ-P-021,봄약국,unknown,unknown,,,,,,,,,확인 필요,2026-07-14,,,약국 운영시간 확인 필요,
GJ-P-022,부곡온누리약국,unknown,unknown,,,,,,,,,확인 필요,2026-07-14,,,약국 운영시간 확인 필요,
GJ-P-023,수강약국,unknown,unknown,,,,,,,,,확인 필요,2026-07-14,,,약국 운영시간 확인 필요,
GJ-P-024,스타약국,unknown,unknown,,,,,,,,,확인 필요,2026-07-14,,,약국 운영시간 확인 필요,
GJ-P-025,신제일약국,unknown,unknown,,,,,,,,,확인 필요,2026-07-14,,,약국 운영시간 확인 필요,
GJ-P-026,우리약국,unknown,unknown,,,,,,,,,확인 필요,2026-07-14,,,약국 운영시간 확인 필요,
GJ-P-027,장전 온누리약국,unknown,unknown,,,,,,,,,확인 필요,2026-07-14,,,약국 운영시간 확인 필요,
